N_splines,chart,size,pc2_var,pc3_var,convex_gap_median,convex_gap_p90,convex_gap_bad_frac,hull_area
32,22,71,0.5716384178705655,0.7602234976796521,0.7672503689499326,1.5093854298396312,0.0016666666666666668,0.3096988938419003
32,23,77,0.5747728394204557,0.7607450297440495,0.6222038516712324,1.269987645580673,0.0,0.3498750684514377
32,24,70,0.6335422691219899,0.820698873651245,0.92799872895708,1.6399960334070292,0.0,0.20883858410786543
32,25,84,0.5696044799300508,0.7833616121409976,0.807627330050285,1.970910738714243,0.041666666666666664,0.19762146301870087
32,26,57,0.6409530190858506,0.7953715753447618,0.7023504794495118,1.4383452166841662,0.0,0.2703353814186545
32,27,87,0.565044772807079,0.7466082776488959,0.9136505254076381,1.6752046552105075,0.0,0.23351806407312847
32,28,66,0.506786795461265,0.7228353776486196,0.9004287489531615,1.8740512758641117,0.013333333333333334,0.29144918935571085
32,29,100,0.5560115004322559,0.7530076300402062,0.7650271955310757,1.4463918141420444,0.0033333333333333335,0.302497216489862
32,30,53,0.6880802405360237,0.8670022884490949,1.040343203465157,2.108853087647605,0.016666666666666666,0.21285288183437884
32,31,107,0.5800313766026386,0.7646370067932918,1.801955685995094,5.542784129776387,0.35833333333333334,0.19511130406951524
48,0,55,0.6309596204604587,0.7848568798012752,0.9217560725749148,1.7834128812591552,0.011666666666666667,0.1825130433322206
48,1,60,0.6256078048292053,0.8507214395173797,1.8276847678491537,4.890345008099286,0.31666666666666665,0.15842069226105787
48,2,54,0.644387150233471,0.8141125481461822,1.2572304074447769,3.009808665720499,0.10166666666666667,0.15114381063919408
48,3,26,0.6845700878091191,0.7884497537611083,0.6920251128464723,1.3306141047946103,0.0,0.19512396699018922
48,4,41,0.5736051487238946,0.7768732906129563,0.6877839934085883,1.2637179827838143,0.0,0.13631889976783473
48,5,45,0.6835309733007666,0.8647605422457292,1.020822664560955,2.2591493080292016,0.006666666666666667,0.19050889262285997
48,6,43,0.5865410514208991,0.7658629236377039,0.9550743148661374,2.6544765288559016,0.056666666666666664,0.17191673265377475
48,7,69,0.6763286542651957,0.8362379189044814,1.1289664224543676,3.2165270892728097,0.11833333333333333,0.18030360384794697
48,8,80,0.6533316428409282,0.8410806109387183,0.8782934294212656,1.581690649300916,0.005,0.18659964805793752
48,9,61,0.6078010394392355,0.7756699965110244,1.3768190393318194,4.675655806953264,0.28833333333333333,0.17954442556975123
48,10,77,0.5964833026217018,0.7667788146646303,0.9187898075587596,1.7470788279331042,0.0033333333333333335,0.2772922780288479
48,11,82,0.6355915452329104,0.8055143334709169,1.0235058169904305,2.818277283579315,0.085,0.2546046528490404
48,12,82,0.544175382978308,0.7448621581997097,1.305894567907096,3.431020422318379,0.12333333333333334,0.21144912361553697
48,13,45,0.6092035855453878,0.7844251776377276,0.7345876200307347,1.4089517610579287,0.0,0.15421185763655687
48,14,46,0.6919007529070706,0.8694460590410843,0.9332373865028009,2.350521295013624,0.0033333333333333335,0.14648189634215664
48,15,39,0.7522695951321602,0.8696477517423966,1.6766264528201087,3.597598399148327,0.16666666666666666,0.1897765430168657
48,16,45,0.5267624739812515,0.7509676165177428,0.766481923079106,1.5561093064024287,0.0033333333333333335,0.18679167138734662
48,17,63,0.6486598304360416,0.8320871424331973,0.9525945722974367,1.9603364979515778,0.0,0.18533766911138153
48,18,82,0.5979672179532192,0.7707013631498585,0.9121464725119655,3.253738169490071,0.11666666666666667,0.15046564948433797
48,19,45,0.6334341591308135,0.8079323223517152,0.7381532370680856,1.263384703169341,0.0,0.19329741007000184
48,20,57,0.705121641750043,0.8558111221986591,0.8373186696713442,1.7243723829684667,0.0033333333333333335,0.21099954611751753
48,21,59,0.6262926880168164,0.8555613680947732,0.7064651119162864,1.32817465949224,0.0016666666666666668,0.198163526018969
48,22,55,0.6298497404390351,0.8196160561000378,0.8787672689843187,1.8062175166725445,0.0016666666666666668,0.21725752505899354
48,23,37,0.7340127694725473,0.862659932739567,0.9122983101546048,1.900614598363142,0.0,0.14114291843293986
48,24,62,0.6198191414710741,0.7664089728215703,0.918385439014975,1.6569986550604696,0.0,0.18386920234084464
